,title,href
0,Artificial intelligence,/wiki/Artificial_intelligence
1,Training data,/wiki/Training_data
2,Email filtering,/wiki/Email_filtering
3,Speech recognition,/wiki/Speech_recognition
4,Computer vision,/wiki/Computer_vision
5,Computational statistics,/wiki/Computational_statistics
6,Mathematical optimization,/wiki/Mathematical_optimization
7,Data mining,/wiki/Data_mining
8,Exploratory data analysis,/wiki/Exploratory_data_analysis
9,Unsupervised learning,/wiki/Unsupervised_learning
10,Neural networks,/wiki/Neural_networks
11,Predictive analytics,/wiki/Predictive_analytics
12,Family (biology),/wiki/Family_(biology)
13,Black swan theory,/wiki/Black_swan_theory
14,MNIST database,/wiki/MNIST_database
15,Arthur Samuel,/wiki/Arthur_Samuel
16,IBM,/wiki/IBM
17,Computer gaming,/wiki/Computer_gaming
18,Artificial intelligence,/wiki/Artificial_intelligence
19,Punched tape,/wiki/Punched_tape
20,Raytheon Company,/wiki/Raytheon_Company
21,Reinforcement learning,/wiki/Reinforcement_learning
22,Goof,/wiki/Goof
23,Neural network,/wiki/Neural_network
24,Tom M. Mitchell,/wiki/Tom_M._Mitchell
25,Operational definition,/wiki/Operational_definition
26,Alan Turing,/wiki/Alan_Turing
27,Computing Machinery and Intelligence,/wiki/Computing_Machinery_and_Intelligence
28,Discipline (academia),/wiki/Discipline_(academia)
29,Neural network,/wiki/Neural_network
30,Perceptron,/wiki/Perceptron
31,ADALINE,/wiki/ADALINE
32,Generalized linear model,/wiki/Generalized_linear_model
33,Probabilistic reasoning,/wiki/Probabilistic_reasoning
34,Automated medical diagnosis,/wiki/Automated_medical_diagnosis
35,GOFAI,/wiki/GOFAI
36,Expert system,/wiki/Expert_system
37,Inductive logic programming,/wiki/Inductive_logic_programming
38,Pattern recognition,/wiki/Pattern_recognition
39,Information retrieval,/wiki/Information_retrieval
40,Computer science,/wiki/Computer_science
41,Connectionism,/wiki/Connectionism
42,John Hopfield,/wiki/John_Hopfield
43,David Rumelhart,/wiki/David_Rumelhart
44,Geoff Hinton,/wiki/Geoff_Hinton
45,Backpropagation,/wiki/Backpropagation
46,Symbolic artificial intelligence,/wiki/Symbolic_artificial_intelligence
47,Fuzzy logic,/wiki/Fuzzy_logic
48,Probability theory,/wiki/Probability_theory
49,Data mining,/wiki/Data_mining
50,Data mining,/wiki/Data_mining
51,Discovery (observation),/wiki/Discovery_(observation)
52,Knowledge discovery,/wiki/Knowledge_discovery
53,ECML PKDD,/wiki/ECML_PKDD
54,Mathematical optimization,/wiki/Mathematical_optimization
55,Loss function,/wiki/Loss_function
56,Deep learning,/wiki/Deep_learning
57,Statistics,/wiki/Statistics
58,Statistical inference,/wiki/Statistical_inference
59,Sample (statistics),/wiki/Sample_(statistics)
60,Michael I. Jordan,/wiki/Michael_I._Jordan
61,Data science,/wiki/Data_science
62,Leo Breiman,/wiki/Leo_Breiman
63,Random forest,/wiki/Random_forest
64,Theoretical computer science,/wiki/Theoretical_computer_science
65,Computational learning theory,/wiki/Computational_learning_theory
66,Probably approximately correct learning,/wiki/Probably_approximately_correct_learning
67,Bias–variance decomposition,/wiki/Bias%E2%80%93variance_decomposition
68,Errors and residuals,/wiki/Errors_and_residuals
69,Overfitting,/wiki/Overfitting
70,Time complexity,/wiki/Time_complexity#Polynomial_time
71,Time complexity,/wiki/Time_complexity
72,Training data,/wiki/Training_data
73,Array data structure,/wiki/Array_data_structure
74,Matrix (mathematics),/wiki/Matrix_(mathematics)
75,Mathematical optimization,/wiki/Mathematical_optimization#Computational_optimization_techniques
76,Loss function,/wiki/Loss_function
77,Active learning (machine learning),/wiki/Active_learning_(machine_learning)
78,Statistical classification,/wiki/Statistical_classification
79,Regression analysis,/wiki/Regression_analysis
80,Similarity learning,/wiki/Similarity_learning
81,Ranking,/wiki/Ranking
82,Recommender system,/wiki/Recommender_system
83,Density estimation,/wiki/Density_estimation
84,Statistics,/wiki/Statistics
85,Probability density function,/wiki/Probability_density_function
86,Unsupervised learning,/wiki/Unsupervised_learning
87,Supervised learning,/wiki/Supervised_learning
88,Weak supervision,/wiki/Weak_supervision
89,Software agent,/wiki/Software_agent
90,Action selection,/wiki/Action_selection
91,Game theory,/wiki/Game_theory
92,Control theory,/wiki/Control_theory
93,Operations research,/wiki/Operations_research
94,Information theory,/wiki/Information_theory
95,Simulation-based optimization,/wiki/Simulation-based_optimization
96,Multi-agent system,/wiki/Multi-agent_system
97,Swarm intelligence,/wiki/Swarm_intelligence
98,Statistics,/wiki/Statistics
99,Genetic algorithm,/wiki/Genetic_algorithm
100,Markov decision process,/wiki/Markov_decision_process
101,Dynamic programming,/wiki/Dynamic_programming
102,Principal component analysis,/wiki/Principal_component_analysis
103,Manifold hypothesis,/wiki/Manifold_hypothesis
104,Manifold,/wiki/Manifold
105,Manifold learning,/wiki/Manifold_learning
106,Manifold regularization,/wiki/Manifold_regularization
107,Topic modeling,/wiki/Topic_modeling
108,Meta learning (computer science),/wiki/Meta_learning_(computer_science)
109,Deep learning,/wiki/Deep_learning
110,Principal components analysis,/wiki/Principal_components_analysis
111,Feature engineering,/wiki/Feature_engineering
112,Artificial neural network,/wiki/Artificial_neural_network
113,Multilayer perceptron,/wiki/Multilayer_perceptron
114,Dictionary learning,/wiki/Dictionary_learning
115,Independent component analysis,/wiki/Independent_component_analysis
116,Autoencoder,/wiki/Autoencoder
117,Matrix decomposition,/wiki/Matrix_decomposition
118,Cluster analysis,/wiki/Cluster_analysis
119,Manifold learning,/wiki/Manifold_learning
120,Sparse coding,/wiki/Sparse_coding
121,Multilinear subspace learning,/wiki/Multilinear_subspace_learning
122,Tensor,/wiki/Tensor
123,Deep learning,/wiki/Deep_learning
124,Basis function,/wiki/Basis_function
125,Sparse matrix,/wiki/Sparse_matrix
126,Strongly NP-hard,/wiki/Strongly_NP-hard
127,Heuristic,/wiki/Heuristic
128,K-SVD,/wiki/K-SVD
129,Image de-noising,/wiki/Image_de-noising
130,Data mining,/wiki/Data_mining
131,Bank fraud,/wiki/Bank_fraud
132,Outlier,/wiki/Outlier
133,Robot learning,/wiki/Robot_learning
134,Meta learning (computer science),/wiki/Meta_learning_(computer_science)
135,Rule-based machine learning,/wiki/Rule-based_machine_learning
136,Learning classifier system,/wiki/Learning_classifier_system
